,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,stalled-cycles-backend,stalled-cycles-frontend,context-switches,cpu-clock,cpu-migrations,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,problem_size,threads,time,speedup
0,446703917,15729448,8587789,78988532,4086290915,2177803239,859120546,1194799505,4205,1931.74,845,130155,130156,1936.56,32349665,1083643187,3602,30386684,36585294,1044849740,297661,8951887,75391740,13228335,15826702,408650107,860840,1046650681,276756,1014976031,0,1,0.174,1.0
1,455751804,16452509,8073552,84078450,4145426863,2228958659,820657127,1216669502,4919,1957.12,1042,130424,130425,1961.8,31168874,1127673314,4668,27815231,33826366,1048076767,288697,7954876,75847753,10675722,16236184,470376391,843506,1119485849,280703,1048854367,0,2,0.1073333333333333,1.6211180124223603
2,419707293,16176979,8219333,78413067,4017570855,2170425535,800217268,1156300017,4363,1898.21,907,130117,130118,1902.96,30470215,1069071764,4099,28033553,33630908,1053271473,301678,7778092,77137828,12396498,15772987,419483573,821891,1051633972,307468,1008817088,0,4,0.067,2.5970149253731343
3,418942413,15999773,8543171,81864677,4148022070,2196151220,711338890,1226402255,4255,1954.56,956,130055,130056,1959.51,31621721,1071520661,3386,28002646,32466891,1019798960,268293,8494555,72096357,12349946,15358058,439733327,796131,1096594307,294979,1030414276,0,8,0.054,3.2222222222222228
4,433329613,14846546,7748196,75188479,3950277215,2103318762,677023368,1073772270,4275,1877.96,966,130150,130151,1882.48,29133131,1100223499,4207,30255439,35494832,1042259827,330087,7738711,84348661,11285245,17126431,440198856,952836,1070781326,312927,999239538,0,16,0.0573333333333333,3.034883720930233
5,468884592,15602556,7776178,80989497,4233307238,2241490639,669389580,1274486278,5501,2013.08,1090,130165,130166,2018.02,32583542,1199555844,4384,30671913,32132082,1040479777,294842,6800858,71809547,10784203,16100570,452138286,891824,1104948989,304079,1051756508,0,32,0.0373333333333333,4.660714285714286
6,493833361,15608062,7746713,82782364,4195510165,2277892190,702674780,1222663384,5186,1999.56,983,130324,130326,2004.45,31807642,1155754781,4078,29515961,35262954,1040165043,310220,8188134,77368839,11590540,15047369,506065692,818574,1146052631,303658,1077343785,0,64,0.04,4.3500000000000005
7,429058364,14723068,7342229,80017267,4058502162,2128514809,761260888,1275413107,4412,1937.32,1000,130605,130606,1942.29,33178748,1100658050,4688,31011693,36261609,1080602371,311228,7894160,74772593,10500969,15092306,474964453,852653,1100372327,295257,1003086213,0,128,0.054,3.2222222222222228
8,603756973,16711636,8678988,83328448,5349212195,3346882277,1257638259,1163742553,6410,2531.95,930,130587,130588,2536.77,33730692,1595551465,4043,31622096,35197238,1354970444,305219,8125298,83485273,11798301,17616230,618862149,897944,1519713104,302385,1295899291,1,1,0.6183333333333333,1.0
9,550135469,16338139,7400959,83584661,4983328345,3135564490,1343753074,1255391156,4406,2345.15,1018,130492,130493,2349.93,35785758,1403099498,3612,33101793,33617815,1245194400,296463,7148053,79013692,10468495,16339738,537747029,786986,1378856791,275709,1208688738,1,2,0.3716666666666666,1.663677130044843
10,558311973,17610730,8061126,83902102,5072208335,3106889236,1200180097,1161105338,4813,2391.27,924,130273,130274,2395.94,34768352,1438452886,4399,31889897,33574386,1233365745,308801,7558824,77863816,10928625,16412816,552832944,802377,1422619321,284979,1257557153,1,4,0.2329999999999999,2.65379113018598
11,590546388,15848939,7713165,84977956,5195508974,3202949461,1129105037,1221701202,4807,2432.79,994,130247,130248,2437.82,35540397,1434814422,4380,34370390,36507591,1225666130,302127,8206193,79449153,12140725,16147750,597135637,792180,1444520225,274083,1259273349,1,8,0.1763333333333333,3.506616257088847
12,559349458,17038476,7941618,82795875,5246399242,3070202218,934194410,1265677073,5194,2481.79,999,130615,130617,2486.48,35324517,1463253381,4873,35775710,34833423,1258693297,311658,6915425,74610856,9859906,15346439,548242669,819409,1418387687,278624,1248634400,1,16,0.1313333333333333,4.708121827411167
13,519546593,15753243,8091275,80102878,5151564858,3001314917,896261596,1456115278,4609,2459.06,933,130695,130697,2463.87,40089872,1419097373,4622,35630821,30959859,1227416104,272346,7426626,76263175,11515927,15547285,530971519,793470,1397612652,275996,1193863036,1,32,0.1153333333333333,5.361271676300578
14,615395164,18367735,10567337,96318769,5303782451,2958162415,987777965,1248566890,5209,2513.8,933,130727,130728,2519.04,36493540,1495320456,4963,33975983,32711795,1286086212,306444,8210082,77085484,12565260,15012734,568421520,873720,1457653270,315196,1337515798,1,64,0.1153333333333333,5.361271676300578
15,636872797,18147109,10225482,100963085,5689126233,3187301600,924416637,1419642842,6793,2697.44,1007,130836,130837,2702.8,38253348,1566281427,5813,34288271,35509977,1361080377,288724,6853982,73304196,10360211,14305333,657070297,817437,1541188486,296858,1342639127,1,128,0.113,5.4719764011799406
16,968138701,27379514,11590588,122652916,9551654053,6535498160,3530734358,1426285737,4711,4464.92,842,131434,131435,4470.34,54856154,2714818244,5039,50221885,44794039,2138976246,286936,9672658,102730599,14631584,26362166,1013487172,860730,2675830661,272668,2087433844,2,1,2.576,1.0
17,957220947,21014444,10741611,110360850,9325824324,6532021287,3117408778,1324613083,4096,4346.44,888,131705,131707,4352.05,54090020,2636719567,4070,49208238,41468011,2074893975,298143,10813081,106446915,15862747,22186787,969801381,914951,2631136048,301803,2042176909,2,2,1.417,1.8179251940719832
18,1028554999,22641837,7644017,107983467,9201950848,6794303055,3455510960,1264172354,4954,4276.09,936,131211,131212,4280.87,54325050,2743895168,3193,50782143,39984946,2088083971,294288,8035001,107254244,12397940,23795560,968072711,912839,2637882686,315973,2096930620,2,4,0.8993333333333333,2.864343958487769
19,984680597,20628239,8856555,110256090,9354971685,6615435400,2634388462,1290268259,4699,4377.22,975,131040,131042,4382.22,55130850,2708425943,4250,54763394,36785529,2072670077,299934,8361315,105873448,11604994,20622441,998466578,814243,2673491040,279229,2081043288,2,8,0.6373333333333333,4.041841004184101
20,953964027,20903045,7989888,113656409,9436059443,6413727653,2082130497,1372784839,4468,4436.27,915,130972,130973,4441.09,56163433,2633350221,6486,55785502,36190616,2051113654,291036,7320771,103071567,10655551,19698633,973983680,795822,2664071359,269664,2031899637,2,16,0.466,5.527896995708154
21,972164572,21192126,9526481,112173532,9614092189,6500642620,1813571878,1278430309,4530,4510.87,945,130985,130986,4516.06,55843806,2682798178,5528,59192042,35075954,2007028707,290531,8800136,102376553,12533847,20798905,967778206,822485,2655614715,289583,2053011057,2,32,0.3946666666666666,6.527027027027027
22,1011706383,19288941,9172227,111503616,9878547188,6637480874,1822367187,1487034965,6035,4637.39,989,131191,131192,4643.02,58506703,2762679410,7565,62421944,41346460,2151729049,334503,8354781,101019714,12025790,18930011,1050788878,818160,2731216518,259469,2059436494,2,64,0.3796666666666666,6.784899034240563
23,970825760,20371035,9382278,108228517,9659333265,6669186405,1902981323,1243946536,4995,4489.35,1002,131225,131226,4495.28,55215243,2661403494,8363,60453440,37416136,2112108497,327787,10792364,115945038,16300076,23104846,999752896,980391,2643187804,326359,2031793841,2,128,0.3723333333333333,6.918531781557744
24,550080311,16391512,11653675,95994686,5276946364,3193231011,1092517065,1215323813,5677,2486.57,775,133041,133042,2492.43,40170869,1451827019,4209,39771350,36923861,1256113150,537609,10370913,87651664,15103968,16435335,608850120,940375,1442147004,313424,1216010743,0,1,0.544,1.0
25,557273892,15890774,11272039,90695125,5427080157,3165887918,862306425,1234405795,5465,2555.9,779,132928,132929,2562.3,40452040,1385849090,4164,39215311,38141416,1217266996,518740,11385124,89744128,15813287,16285475,554901535,894017,1415547499,289654,1214541741,0,2,0.348,1.5632183908045976
26,533038044,16823714,8709710,92277254,5025783395,3268631842,987524381,1226431750,5675,2377.17,846,133143,133144,2382.37,40588457,1442705674,4336,41552527,34796811,1237011444,545532,8389462,85195766,12344682,15851061,549699997,897399,1375067632,317408,1200402061,0,4,0.2393333333333333,2.272980501392758
27,534582446,16263356,9237964,93157633,5098608887,3179351391,927522916,1283003397,6194,2409.4,977,133023,133024,2415.49,42132922,1386432499,4375,40689428,35655595,1218018465,308868,8986068,84253005,13434969,15763631,561430687,863921,1473851204,298096,1213157571,0,8,0.198,2.747474747474747
28,621841696,16114953,8634488,87796994,5429835694,3423557956,892747199,1235712705,8172,2567.31,1024,133173,133174,2573.95,42476863,1500322578,5223,42977002,38836643,1274815113,491752,9727599,90309202,14152228,16937385,593967618,873608,1505807935,296348,1274771449,0,16,0.1793333333333333,3.033457249070632
29,551780002,15540307,9067166,88317627,5234907218,3145537181,766348380,1256068995,8155,2495.9,1224,133176,133177,2503.36,43650234,1437947235,5729,42556916,35693953,1202823667,431852,8714842,92333766,13931497,17135397,549012567,978278,1384145648,307674,1210772884,0,32,0.192,2.833333333333333
30,553369116,18467491,10621559,96751640,5244042707,3276286744,893009472,1269942272,11064,2503.38,1779,133513,133514,2512.67,43659802,1414662547,7404,45234234,34618185,1210175251,556697,9545684,95627411,14927609,17810805,535903880,1107175,1372269979,353535,1259063938,0,64,0.2156666666666666,2.5224111282843897
31,606640397,17616919,10211827,106297212,5756155142,3266601054,961480520,1576105338,18376,2755.68,2551,133987,133988,2768.36,44919293,1538120319,6740,43867597,38040499,1265328769,403367,9291160,93663047,13517634,17196262,613984317,1030003,1552583559,305698,1303917416,0,128,0.2766666666666666,1.966265060240964
32,777806548,18266445,8993746,115633484,7057769433,5755866314,2410626836,1279796790,5151,3310.98,1085,134743,134744,3316.78,65067503,2139251961,4326,65731406,37141765,1658809019,629311,10238665,116927848,14255813,19518073,761547831,870928,2108102639,279940,1624865196,1,1,1.5726666666666669,1.0
33,764186344,19512067,9379342,118246718,7128707515,5568283201,2220659762,1307694146,5102,3349.71,871,134116,134118,3354.88,65230881,2115577163,4205,66673793,35685750,1634442112,793372,9003877,115530639,13487833,19369969,757040300,940561,2078756592,291976,1644278894,1,2,0.9286666666666666,1.6934673366834172
34,785508208,19336834,10112057,121231036,7465102634,5685444559,1896080025,1303205268,5631,3504.92,977,134057,134059,3510.72,67058017,2158592705,3439,68497688,34639711,1667020061,776397,8989280,115722460,13722304,18743349,814610651,946036,2132277423,299631,1653040613,1,4,0.598,2.629877369007804
35,808410529,19848067,9620577,122392725,7831746287,5762996038,1545745586,1357580583,7422,3684.01,908,134188,134189,3690.41,68317560,2162244884,4369,67787602,39026846,1760476428,564055,9017292,114315640,14833918,19396539,822080610,973436,2166530939,322930,1700390710,1,8,0.4343333333333333,3.620874904067537
36,813987383,19102838,8824688,122960094,7928979214,5856241072,1284085404,1404855541,8314,3742.06,1164,134099,134100,3749.95,67600768,2135881014,5296,68912212,40446220,1732943949,675215,9504534,117310984,15124126,19826043,816276831,931098,2164694813,297246,1687942793,1,16,0.352,4.467803030303029
37,882244172,19095653,10987746,127954533,8389921240,6063936042,1274963879,1399371686,12293,3993.03,1291,134276,134277,4003.04,70418060,2278507909,6144,73674328,41424136,1862793358,700885,9613626,119091851,13808218,18712202,939148211,951024,2347191762,293018,1752839997,1,32,0.3429999999999999,4.585034013605442
38,824001834,20483332,13557286,132391896,8594432323,5972647294,1281205798,1502299105,17791,4102.7,2218,134875,134876,4117.56,72761286,2254335478,8801,73298250,42205897,1833154042,648349,13597199,125551736,19071648,19069326,867017271,1031211,2247092446,305896,1748649878,1,64,0.3999999999999999,3.931666666666667
39,861564351,22535161,13902833,144290785,9146610219,5840622510,1116804365,1720849881,29669,4415.29,3429,135368,135369,4437.46,72494166,2371958510,14013,75951513,41530581,1798506505,631168,12652149,135222352,19753128,22001913,858657914,1101650,2338778532,328690,1862183266,1,128,0.456,3.448830409356725
40,1659621833,29007456,9093020,224517444,15283740515,14907858470,6765618403,1684801739,5554,7149.87,1027,138463,138464,7155.41,156932182,4683617778,5665,161162288,41932646,3405125418,805108,9563505,218729176,15221715,29307946,1697530902,882710,4704608301,280776,3329704945,2,1,5.364999999999999,1.0
41,1752526064,29449254,12877327,230764393,16764631916,14876272630,5014332098,1663115007,6891,7845.79,884,137834,137835,7853.1,160203208,4723845213,4314,167608475,47629426,3393140881,888983,12500036,221163569,18822669,28207137,1782521908,972250,4778512545,269077,3405162271,2,2,3.176,1.6892317380352644
42,1722662608,30052951,15250668,235985744,17425547659,14888091385,4458510177,1765646641,7631,8139.57,935,137844,137845,8148.13,157752195,4753594211,5579,168675355,49493188,3460923552,831241,13578849,225407713,20404766,28723027,1763856836,976840,4798651719,265740,3401873222,2,4,2.183666666666667,2.4568768127003504
43,1725891155,30183002,12853293,231131477,17685663180,14966771164,3314054571,1657154156,9041,8292.46,910,136152,136153,8301.37,158763419,4708486847,4796,174561354,46136390,3390142651,935272,13494572,227592386,19999283,30717175,1717417865,1058620,4701062614,303986,3392651686,2,8,1.275,4.207843137254901
44,1838314626,30331169,15195604,235362350,18534551014,15234587447,2651033472,1788127345,13491,8774.05,1049,136011,136012,8786.97,161819970,4857922741,5638,178056964,50639321,3498007687,1231705,15860739,235471738,24014576,30323103,1823193755,1096791,4809853231,297833,3516624117,2,16,1.195,4.489539748953974
45,1764407964,31652454,16403118,239539826,18753934214,15235936256,2353916976,1799308072,17736,8919.22,1305,136361,136362,8936.43,161144374,4850142222,6420,181170479,53779855,3527177347,837723,15954865,242509015,24777940,31958890,1737906637,1226441,4768088423,320037,3482612849,2,32,0.7716666666666668,6.952483801295894
